Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
415,0.0035,0.0000,0.9693,0.9933,0.0000,0.9559,0.9775
416,0.0037,0.0000,0.9677,0.9953,0.0000,0.9569,0.9780
417,0.0043,0.0002,0.9714,0.9907,0.0004,0.9618,0.9805
418,0.0034,0.0000,0.9712,0.9985,0.0000,0.9576,0.9783
419,0.0042,0.0002,0.9697,0.9973,0.0004,0.9652,0.9823
420,0.0037,0.0000,0.9601,0.9934,0.0000,0.9519,0.9754
421,0.0043,0.0002,0.9631,0.9954,0.0003,0.9605,0.9798
422,0.0033,0.0000,0.9723,0.9982,0.0000,0.9603,0.9798
423,0.0035,0.0000,0.9602,0.9933,0.0001,0.9482,0.9734
424,0.0035,0.0000,0.9731,0.9973,0.0000,0.9583,0.9787
425,0.0034,0.0000,0.9662,0.9963,0.0000,0.9604,0.9798
426,0.0041,0.0000,0.9628,0.9963,0.0001,0.9500,0.9744
427,0.0036,0.0000,0.9670,0.9992,0.0000,0.9578,0.9784
428,0.0051,0.0005,0.9682,0.9937,0.0010,0.9585,0.9788
429,0.0045,0.0002,0.9657,0.9876,0.0003,0.9473,0.9729
430,0.0036,0.0000,0.9650,0.9965,0.0000,0.9558,0.9774
431,0.0039,0.0000,0.9723,0.9975,0.0001,0.9544,0.9767
432,0.0038,0.0000,0.9713,0.9986,0.0000,0.9687,0.9841
433,0.0039,0.0000,0.9642,0.9925,0.0001,0.9537,0.9763
434,0.0039,0.0000,0.9691,0.9945,0.0000,0.9589,0.9790
435,0.0036,0.0001,0.9683,0.9946,0.0001,0.9564,0.9777
436,0.0047,0.0002,0.9659,0.9959,0.0005,0.9483,0.9735
437,0.0040,0.0001,0.9711,0.9938,0.0002,0.9658,0.9826
438,0.0033,0.0000,0.9635,0.9958,0.0000,0.9559,0.9774
439,0.0041,0.0002,0.9701,0.9986,0.0003,0.9547,0.9768
440,0.0030,0.0000,0.9634,0.9973,0.0000,0.9480,0.9733
441,0.0039,0.0001,0.9690,0.9982,0.0003,0.9563,0.9777
442,0.0044,0.0003,0.9712,0.9977,0.0006,0.9586,0.9789
443,0.0050,0.0004,0.9668,0.9858,0.0008,0.9586,0.9789
444,0.0031,0.0000,0.9614,0.9990,0.0000,0.9483,0.9734
445,0.0040,0.0001,0.9657,0.9932,0.0001,0.9618,0.9805
446,0.0044,0.0001,0.9511,0.9697,0.0002,0.9354,0.9666
447,0.0038,0.0000,0.9683,0.9962,0.0001,0.9539,0.9764
448,0.0038,0.0000,0.9694,0.9984,0.0000,0.9569,0.9780
449,0.0035,0.0000,0.9678,0.9965,0.0001,0.9620,0.9806
450,0.0040,0.0001,0.9725,0.9942,0.0003,0.9605,0.9798
451,0.0047,0.0003,0.9660,0.9961,0.0007,0.9528,0.9758
