Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
360,0.0136,0.0024,0.8985,0.9058,0.0047,0.9262,0.9617
361,0.0328,0.0072,0.8804,0.7570,0.0145,0.8763,0.9341
362,0.0228,0.0048,0.8852,0.8464,0.0096,0.9053,0.9503
363,0.0311,0.0069,0.8669,0.7571,0.0139,0.8745,0.9330
364,0.0216,0.0033,0.8655,0.8140,0.0067,0.9185,0.9575
365,0.0245,0.0033,0.8451,0.7679,0.0067,0.9028,0.9489
366,0.0203,0.0040,0.8960,0.8524,0.0080,0.9004,0.9476
367,0.0236,0.0049,0.8851,0.8374,0.0098,0.8902,0.9419
368,0.0302,0.0060,0.8617,0.7411,0.0121,0.8722,0.9317
369,0.0239,0.0036,0.8676,0.7676,0.0072,0.8832,0.9380
370,0.0317,0.0065,0.8613,0.7309,0.0131,0.8683,0.9295
371,0.0274,0.0047,0.8549,0.7640,0.0094,0.8835,0.9381
372,0.0206,0.0033,0.8838,0.8224,0.0066,0.9004,0.9476
373,0.0331,0.0069,0.8673,0.7432,0.0138,0.8926,0.9433
374,0.0192,0.0023,0.8614,0.8050,0.0046,0.9160,0.9562
375,0.0173,0.0027,0.8849,0.8548,0.0053,0.8986,0.9466
376,0.0250,0.0048,0.8700,0.8039,0.0095,0.9017,0.9483
377,0.0306,0.0057,0.8507,0.7554,0.0113,0.8725,0.9319
378,0.0181,0.0020,0.8615,0.8180,0.0041,0.9153,0.9558
379,0.0185,0.0040,0.8868,0.8714,0.0080,0.8981,0.9463
380,0.0342,0.0099,0.8822,0.7873,0.0198,0.9059,0.9506
381,0.0265,0.0050,0.8710,0.7736,0.0099,0.8882,0.9408
382,0.0263,0.0050,0.8754,0.7756,0.0099,0.8816,0.9371
383,0.0162,0.0027,0.8896,0.8828,0.0055,0.9133,0.9547
384,0.0246,0.0035,0.8571,0.7590,0.0069,0.8851,0.9391
385,0.0221,0.0052,0.8884,0.8553,0.0103,0.9109,0.9534
386,0.0169,0.0032,0.8926,0.8709,0.0064,0.9130,0.9545
387,0.0270,0.0037,0.8438,0.7328,0.0074,0.8972,0.9458
388,0.0339,0.0100,0.8883,0.8122,0.0199,0.8941,0.9441
389,0.0194,0.0028,0.8836,0.8288,0.0056,0.9015,0.9482
390,0.0145,0.0028,0.9048,0.8811,0.0055,0.9125,0.9543
391,0.0250,0.0044,0.8577,0.7703,0.0088,0.8900,0.9418
392,0.0328,0.0062,0.8709,0.7320,0.0124,0.8867,0.9399
393,0.0313,0.0062,0.8631,0.7609,0.0123,0.8798,0.9360
394,0.0220,0.0052,0.8849,0.8430,0.0103,0.8960,0.9451
395,0.0297,0.0055,0.8648,0.7474,0.0109,0.8898,0.9417
396,0.0234,0.0040,0.8574,0.7859,0.0080,0.8810,0.9367
397,0.0263,0.0051,0.8829,0.7922,0.0102,0.8906,0.9421
398,0.0175,0.0030,0.8964,0.8703,0.0060,0.9056,0.9505
399,0.0156,0.0023,0.8934,0.8662,0.0046,0.9102,0.9530
400,0.0243,0.0042,0.8667,0.7880,0.0083,0.8927,0.9433
401,0.0284,0.0047,0.8589,0.7526,0.0094,0.8743,0.9329
402,0.0231,0.0054,0.8907,0.8505,0.0108,0.9107,0.9533
403,0.0181,0.0026,0.8775,0.8483,0.0052,0.9060,0.9507
404,0.0242,0.0052,0.8839,0.8124,0.0104,0.9203,0.9585
405,0.0276,0.0059,0.8799,0.7913,0.0118,0.8807,0.9366
406,0.0267,0.0038,0.8627,0.7520,0.0077,0.8890,0.9412
407,0.0172,0.0024,0.8913,0.8619,0.0047,0.8919,0.9429
408,0.0280,0.0054,0.8529,0.7663,0.0108,0.8876,0.9404
409,0.0229,0.0059,0.8918,0.8466,0.0117,0.9003,0.9475
410,0.0307,0.0064,0.8719,0.7726,0.0128,0.9004,0.9476
411,0.0187,0.0033,0.8815,0.8506,0.0067,0.8993,0.9470
412,0.0264,0.0045,0.8811,0.7458,0.0091,0.8702,0.9306
413,0.0232,0.0033,0.8680,0.7849,0.0067,0.9060,0.9507
414,0.0284,0.0045,0.8561,0.7425,0.0089,0.8734,0.9324
415,0.0313,0.0076,0.8748,0.7921,0.0151,0.8889,0.9412
416,0.0255,0.0050,0.8714,0.8040,0.0099,0.8959,0.9451
417,0.0323,0.0054,0.8403,0.6947,0.0107,0.8905,0.9421
418,0.0258,0.0053,0.8771,0.7944,0.0106,0.8888,0.9411
419,0.0270,0.0050,0.8667,0.7802,0.0099,0.9060,0.9507
420,0.0220,0.0037,0.8699,0.8265,0.0074,0.9016,0.9482
421,0.0295,0.0048,0.8345,0.7271,0.0097,0.8904,0.9420
422,0.0303,0.0066,0.8719,0.7871,0.0132,0.8839,0.9384
423,0.0195,0.0043,0.8804,0.8737,0.0086,0.9077,0.9516
424,0.0281,0.0057,0.8702,0.7704,0.0114,0.8892,0.9414
425,0.0158,0.0021,0.8798,0.8465,0.0043,0.9099,0.9528
426,0.0224,0.0042,0.8770,0.8364,0.0084,0.9093,0.9525
427,0.0218,0.0036,0.8813,0.8328,0.0073,0.9004,0.9476
428,0.0315,0.0057,0.8596,0.7072,0.0115,0.8761,0.9339
429,0.0289,0.0065,0.8700,0.7855,0.0131,0.8825,0.9376
430,0.0189,0.0027,0.8649,0.8233,0.0055,0.9028,0.9489
431,0.0319,0.0068,0.8670,0.7590,0.0136,0.8912,0.9425
432,0.0360,0.0065,0.8284,0.6772,0.0130,0.8694,0.9302
433,0.0170,0.0023,0.8750,0.8453,0.0047,0.9209,0.9588
434,0.0281,0.0044,0.8657,0.7285,0.0087,0.8600,0.9247
435,0.0241,0.0045,0.8745,0.7946,0.0090,0.8837,0.9383
436,0.0212,0.0036,0.8782,0.8188,0.0071,0.8987,0.9467
437,0.0290,0.0051,0.8664,0.7609,0.0103,0.9006,0.9477
438,0.0178,0.0026,0.8866,0.8427,0.0052,0.9059,0.9506
439,0.0323,0.0082,0.8771,0.7884,0.0164,0.9028,0.9489
440,0.0159,0.0033,0.9025,0.8962,0.0065,0.9043,0.9498
441,0.0299,0.0058,0.8663,0.7703,0.0115,0.8890,0.9412
442,0.0262,0.0055,0.8709,0.8045,0.0109,0.9074,0.9514
443,0.0281,0.0054,0.8795,0.7790,0.0107,0.8951,0.9447
444,0.0185,0.0039,0.8906,0.8570,0.0078,0.8826,0.9376
445,0.0291,0.0047,0.8453,0.7457,0.0093,0.8761,0.9340
446,0.0154,0.0035,0.8941,0.8844,0.0069,0.9076,0.9516
447,0.0229,0.0038,0.8829,0.8137,0.0077,0.8931,0.9435
448,0.0279,0.0059,0.8694,0.7902,0.0118,0.8948,0.9445
449,0.0290,0.0058,0.8706,0.7715,0.0117,0.8927,0.9433
450,0.0298,0.0059,0.8636,0.7549,0.0118,0.8924,0.9431
451,0.0325,0.0062,0.8629,0.7345,0.0124,0.8711,0.9311
