Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
290,0.0056,0.0001,0.6104,0.8948,0.0001,0.9259,0.9615
291,0.0059,0.0001,0.6176,0.8745,0.0002,0.9185,0.9575
292,0.0057,0.0001,0.6178,0.8859,0.0001,0.9225,0.9597
293,0.0054,0.0000,0.6259,0.9060,0.0001,0.9381,0.9680
294,0.0055,0.0001,0.6431,0.9079,0.0002,0.9056,0.9505
295,0.0067,0.0001,0.5849,0.8392,0.0002,0.9154,0.9558
296,0.0071,0.0001,0.5680,0.8005,0.0002,0.8954,0.9448
297,0.0064,0.0001,0.6021,0.8606,0.0002,0.9264,0.9618
298,0.0069,0.0001,0.6007,0.8487,0.0002,0.9329,0.9653
299,0.0059,0.0001,0.6062,0.8816,0.0002,0.9226,0.9597
300,0.0072,0.0001,0.5942,0.8285,0.0003,0.9212,0.9590
301,0.0052,0.0001,0.6245,0.9158,0.0001,0.9223,0.9596
302,0.0067,0.0001,0.6079,0.8548,0.0002,0.9241,0.9606
303,0.0066,0.0001,0.5913,0.8483,0.0002,0.9143,0.9552
304,0.0055,0.0001,0.6312,0.9094,0.0002,0.9071,0.9513
305,0.0062,0.0001,0.6043,0.8629,0.0002,0.9176,0.9570
306,0.0060,0.0001,0.5981,0.8752,0.0001,0.9326,0.9651
307,0.0049,0.0001,0.6400,0.9385,0.0002,0.9205,0.9586
308,0.0057,0.0001,0.6221,0.8976,0.0002,0.9318,0.9647
309,0.0059,0.0001,0.5979,0.8784,0.0001,0.9332,0.9654
310,0.0066,0.0001,0.6115,0.8644,0.0002,0.9250,0.9611
311,0.0056,0.0001,0.6064,0.8953,0.0001,0.9331,0.9654
312,0.0062,0.0001,0.5916,0.8598,0.0002,0.9053,0.9503
313,0.0062,0.0001,0.6116,0.8822,0.0002,0.9228,0.9598
314,0.0062,0.0001,0.6028,0.8656,0.0002,0.9198,0.9582
315,0.0055,0.0001,0.6239,0.9036,0.0001,0.9320,0.9648
316,0.0059,0.0001,0.6040,0.8687,0.0001,0.9209,0.9588
317,0.0065,0.0001,0.6151,0.8667,0.0003,0.9115,0.9537
318,0.0059,0.0001,0.5992,0.8754,0.0001,0.9283,0.9628
319,0.0064,0.0001,0.5947,0.8428,0.0002,0.9209,0.9588
320,0.0056,0.0001,0.6114,0.8872,0.0001,0.9268,0.9620
321,0.0056,0.0001,0.6378,0.8957,0.0001,0.9152,0.9557
322,0.0063,0.0001,0.6043,0.8589,0.0002,0.9335,0.9656
323,0.0056,0.0001,0.6084,0.8888,0.0001,0.9291,0.9632
324,0.0052,0.0001,0.6225,0.9091,0.0001,0.9192,0.9579
325,0.0050,0.0000,0.6259,0.9177,0.0001,0.9286,0.9630
326,0.0061,0.0001,0.6156,0.8917,0.0002,0.9210,0.9589
327,0.0066,0.0001,0.6119,0.8695,0.0003,0.9153,0.9558
328,0.0052,0.0000,0.6245,0.9085,0.0001,0.9236,0.9603
329,0.0070,0.0001,0.5973,0.8447,0.0003,0.9234,0.9602
330,0.0060,0.0001,0.6015,0.8716,0.0002,0.9056,0.9505
331,0.0055,0.0001,0.6420,0.9040,0.0002,0.9067,0.9511
332,0.0058,0.0001,0.6162,0.8917,0.0002,0.9098,0.9527
333,0.0064,0.0001,0.6087,0.8764,0.0002,0.9272,0.9623
334,0.0059,0.0001,0.6290,0.8951,0.0002,0.9228,0.9598
335,0.0058,0.0001,0.6015,0.8698,0.0001,0.9156,0.9559
336,0.0063,0.0001,0.5951,0.8683,0.0002,0.9177,0.9571
337,0.0064,0.0001,0.5977,0.8613,0.0002,0.9271,0.9622
338,0.0061,0.0001,0.5857,0.8652,0.0001,0.9288,0.9631
339,0.0057,0.0001,0.6182,0.8980,0.0002,0.9393,0.9687
340,0.0055,0.0001,0.6257,0.9137,0.0002,0.9171,0.9568
341,0.0061,0.0001,0.6058,0.8688,0.0002,0.9119,0.9539
342,0.0060,0.0001,0.5985,0.8738,0.0002,0.9098,0.9528
343,0.0058,0.0001,0.6430,0.8968,0.0002,0.9099,0.9528
344,0.0224,0.0049,0.7098,0.8684,0.0097,0.8820,0.9373
345,0.0056,0.0001,0.6281,0.8903,0.0001,0.9245,0.9608
346,0.0057,0.0001,0.6119,0.8926,0.0002,0.9312,0.9644
347,0.0063,0.0001,0.5980,0.8592,0.0002,0.9279,0.9626
348,0.0062,0.0001,0.6020,0.8710,0.0002,0.9243,0.9607
349,0.0101,0.0008,0.6451,0.8715,0.0015,0.9053,0.9503
350,0.0056,0.0001,0.6087,0.8956,0.0001,0.9311,0.9643
351,0.0058,0.0001,0.6154,0.8851,0.0002,0.9139,0.9550
352,0.0065,0.0001,0.6280,0.8762,0.0003,0.9282,0.9627
353,0.0065,0.0001,0.6123,0.8606,0.0002,0.9199,0.9583
354,0.0071,0.0001,0.5858,0.8361,0.0003,0.8996,0.9472
355,0.0062,0.0001,0.6035,0.8702,0.0002,0.9252,0.9611
356,0.0067,0.0001,0.5885,0.8380,0.0002,0.9094,0.9526
357,0.0065,0.0001,0.5987,0.8496,0.0002,0.9278,0.9626
358,0.0062,0.0001,0.5747,0.8583,0.0001,0.9204,0.9586
359,0.0054,0.0001,0.6085,0.9031,0.0001,0.9372,0.9676
360,0.0057,0.0001,0.6269,0.8965,0.0002,0.9177,0.9571
361,0.0059,0.0001,0.6059,0.8823,0.0001,0.9223,0.9596
362,0.0059,0.0001,0.6053,0.8951,0.0002,0.9111,0.9535
363,0.0057,0.0001,0.6085,0.8911,0.0001,0.9255,0.9613
364,0.0068,0.0001,0.5859,0.8332,0.0002,0.9175,0.9570
365,0.0067,0.0001,0.5867,0.8382,0.0002,0.9335,0.9656
366,0.0088,0.0003,0.6147,0.8300,0.0007,0.8947,0.9444
367,0.0063,0.0001,0.6054,0.8779,0.0003,0.9129,0.9545
368,0.0059,0.0001,0.6051,0.8805,0.0002,0.9209,0.9588
369,0.0061,0.0001,0.6110,0.8721,0.0002,0.9219,0.9593
370,0.0070,0.0001,0.5978,0.8444,0.0003,0.9237,0.9603
371,0.0059,0.0001,0.6047,0.8802,0.0001,0.9329,0.9653
372,0.0062,0.0001,0.6106,0.8594,0.0002,0.9122,0.9541
373,0.0063,0.0001,0.6020,0.8607,0.0002,0.9282,0.9628
374,0.0061,0.0001,0.6035,0.8768,0.0002,0.9069,0.9512
375,0.0070,0.0003,0.6236,0.8897,0.0007,0.9113,0.9536
376,0.0058,0.0001,0.6149,0.8985,0.0003,0.9253,0.9612
377,0.0066,0.0001,0.6002,0.8459,0.0002,0.9140,0.9551
378,0.0056,0.0001,0.6120,0.8883,0.0001,0.9280,0.9627
379,0.0054,0.0001,0.6240,0.9055,0.0002,0.9102,0.9530
380,0.0055,0.0001,0.6112,0.9015,0.0001,0.9288,0.9631
381,0.0060,0.0001,0.6075,0.8705,0.0001,0.9248,0.9609
382,0.0056,0.0001,0.6092,0.8969,0.0002,0.9286,0.9630
383,0.0063,0.0001,0.6182,0.8894,0.0003,0.9133,0.9547
384,0.0057,0.0001,0.6075,0.8831,0.0001,0.9268,0.9620
