Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
375,0.0041,0.0000,0.9594,0.9695,0.0001,0.9416,0.9699
376,0.0035,0.0000,0.9756,0.9911,0.0000,0.9568,0.9779
377,0.0048,0.0000,0.9502,0.9416,0.0001,0.9420,0.9701
378,0.0041,0.0000,0.9579,0.9656,0.0001,0.9549,0.9769
379,0.0037,0.0000,0.9525,0.9525,0.0001,0.9450,0.9717
380,0.0038,0.0000,0.9718,0.9841,0.0000,0.9573,0.9782
381,0.0041,0.0000,0.9752,0.9807,0.0000,0.9551,0.9771
382,0.0038,0.0000,0.9733,0.9772,0.0000,0.9577,0.9784
383,0.0052,0.0001,0.9397,0.9217,0.0002,0.9320,0.9648
384,0.0039,0.0000,0.9734,0.9839,0.0000,0.9556,0.9773
385,0.0036,0.0000,0.9672,0.9805,0.0001,0.9480,0.9733
386,0.0041,0.0000,0.9636,0.9688,0.0001,0.9463,0.9724
387,0.0048,0.0000,0.9633,0.9435,0.0001,0.9578,0.9784
388,0.0040,0.0000,0.9674,0.9787,0.0000,0.9412,0.9697
389,0.0043,0.0000,0.9556,0.9594,0.0001,0.9406,0.9694
390,0.0042,0.0000,0.9670,0.9596,0.0001,0.9413,0.9697
391,0.0052,0.0001,0.9600,0.9524,0.0002,0.9492,0.9739
392,0.0040,0.0000,0.9743,0.9785,0.0000,0.9578,0.9785
393,0.0042,0.0000,0.9676,0.9706,0.0001,0.9505,0.9746
394,0.0035,0.0000,0.9710,0.9845,0.0000,0.9488,0.9738
395,0.0041,0.0000,0.9701,0.9630,0.0001,0.9547,0.9768
396,0.0043,0.0000,0.9614,0.9611,0.0001,0.9485,0.9736
397,0.0040,0.0000,0.9755,0.9911,0.0000,0.9419,0.9701
398,0.0039,0.0000,0.9617,0.9681,0.0001,0.9467,0.9726
399,0.0041,0.0000,0.9642,0.9690,0.0001,0.9414,0.9698
400,0.0041,0.0000,0.9722,0.9809,0.0000,0.9518,0.9753
401,0.0042,0.0000,0.9721,0.9833,0.0000,0.9495,0.9741
402,0.0041,0.0000,0.9655,0.9600,0.0001,0.9461,0.9723
403,0.0039,0.0000,0.9632,0.9783,0.0000,0.9473,0.9729
404,0.0043,0.0000,0.9682,0.9655,0.0001,0.9565,0.9778
405,0.0040,0.0000,0.9685,0.9831,0.0000,0.9452,0.9718
406,0.0041,0.0000,0.9693,0.9745,0.0001,0.9589,0.9790
407,0.0040,0.0000,0.9657,0.9764,0.0000,0.9473,0.9729
408,0.0042,0.0000,0.9612,0.9485,0.0001,0.9535,0.9762
409,0.0041,0.0000,0.9641,0.9773,0.0001,0.9432,0.9708
410,0.0040,0.0000,0.9729,0.9857,0.0000,0.9559,0.9774
411,0.0034,0.0000,0.9622,0.9806,0.0000,0.9531,0.9760
412,0.0035,0.0000,0.9722,0.9880,0.0000,0.9575,0.9783
413,0.0038,0.0000,0.9731,0.9838,0.0001,0.9611,0.9802
414,0.0047,0.0000,0.9656,0.9638,0.0001,0.9515,0.9751
415,0.0040,0.0000,0.9672,0.9807,0.0000,0.9443,0.9713
416,0.0041,0.0000,0.9602,0.9704,0.0001,0.9522,0.9755
